"","ibgeID","lat","lon"
"582",2508000,-7.5375089,-37.8192275
"583",2508109,-6.5899848,-37.9149013
"584",2508208,-6.6806695,-35.3638140045239
"585",2508307,-7.157099,-35.8542023
"586",2508406,-6.5168423,-38.1786407
"587",2508505,-7.3757441,-36.9449444
"588",2508554,-6.6147883,-35.4431686
"589",2508604,-6.8984018,-34.8711915
"590",2508703,-7.2582944,-37.4269768
"591",2508802,-6.9068159,-37.5217101
"592",2508901,-6.833698,-35.121316
"593",2509008,-7.7060905,-38.1531251
"594",2509057,-6.7704107,-35.0121479
"595",2509107,-7.0580611,-35.3184163
"596",2509156,-6.8440704,-38.3473088
"597",2509206,-7.1812758,-35.7330712
"598",2509305,-6.59673,-35.05308
"599",2509339,-7.1219554,-35.7713426
"600",2509370,-6.5433859,-37.7146519
"601",2509396,-7.264629,-37.3383363
"602",2509404,-7.3019003,-35.4782749
"603",2509503,-7.088656,-35.9577367
"604",2509602,-7.214284,-38.5857578
"605",2509701,-7.8920179,-37.1232051
"606",2509800,-7.0309389,-35.4646079
"607",2509909,-7.6410756,-35.5542731
"608",2510006,-6.9156749,-38.3251082
"609",2510105,-6.4554313,-36.2040005
"610",2510204,-7.4782417,-38.0404379
"611",2510303,-6.6795042,-36.4187275
"612",2510402,-7.2289861,-37.7490068
"613",2510501,-6.991036,-36.2437286
"614",2510600,-7.6209094,-37.1510175
"615",2510659,-7.3182642,-36.6556211
"616",2510709,-7.1364483,-37.0474285
"617",2510808,-7.0258285,-37.2766817
"618",2510907,-6.5980362,-37.6215766
"619",2511004,-7.4277554,-38.0697088
"620",2511103,-6.7562744,-36.4673179
"621",2511202,-7.3988977,-35.112176
"622",2511301,-7.1987413,-37.9255755
"623",2511400,-6.5106721,-36.3492736
"624",2511509,-7.264034,-35.252326
"625",2511608,-6.868269,-35.612974
"626",2511707,-6.8427437,-35.5308348
"627",2511806,-6.7809356,-35.4967135
"628",2511905,-7.4728063,-34.811233
"629",2512002,-7.076073,-36.0604474
"630",2512036,-6.4050165,-38.4964786
"631",2512077,-6.5744099,-38.5114566
"632",2512101,-6.7711315,-37.7988646
"633",2512200,-7.6948841,-37.0830343
"634",2512309,-7.736898,-37.9921335
"635",2512408,-7.1475216,-35.9613355
"636",2512507,-7.3640404,-35.9016644
"637",2512606,-7.0316879,-37.1477921
"638",2512705,-6.9686741,-35.7932133
"639",2512721,-6.6399063,-35.2865202
"640",2512747,-6.5408387,-35.6608948
"641",2512754,-7.253472,-35.669257
"642",2512762,-7.1474817,-35.264755
"643",2512788,-7.6914069,-36.1563143
"644",2512804,-6.4355877,-37.6560108
"645",2512903,-6.803828,-35.077569
"646",2513000,-7.1024779,-36.8446805
"647",2513109,-7.3565372,-35.4381278
"648",2513158,-7.7441445,-35.8793295
"649",2513208,-6.5342881,-38.0596346
"650",2513307,-6.7198909,-38.6399212
"651",2513356,-7.6269752,-38.5592415
"652",2513406,-6.8677854,-36.9182757
"653",2513505,-7.5516523,-38.3367458
"654",2513604,-7.3856858,-37.987565
"655",2513653,-6.4832147,-38.478874
"656",2513703,-7.128465,-34.9846186
"657",2513802,-7.0849073,-37.4433667
"658",2513851,-7.2198586,-36.6319767
"659",2513901,-6.4878082,-37.4494675
"660",2513927,-6.885961,-37.724345
"661",2513943,-7.6350228,-36.4317431
"662",2513968,-6.8174316,-37.942643
"663",2513984,-6.6193066,-38.0957979
"664",2514008,-7.386747,-36.5288956
"665",2514107,-8.078237,-36.849141
"666",2514206,-6.9426858,-38.1639988
"667",2514305,-7.2495911,-38.2999416
"668",2514404,-6.8465204,-37.3250225
"669",2514453,-7.2458875,-35.3731185
"670",2514503,-7.1198508,-38.4991347
"671",2514552,-7.7412144,-38.0989448
"672",2514602,-7.1616115,-37.3081198
"673",2514651,-6.212327,-37.3544536
"674",2514701,-6.7758264,-36.797916
